rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games
1,fa,27,,Ryne Nelson,669194,1,1,1,0,0,0,1.0,2.0,1.0,1,0,0,0,0,0,1.0,1,1,17
2,fa,27,,Jahmai Jones,663330,22,4,9,3,0,2,0.48,1.298,0.818,3,3,5,0,0,4,0.409,25,18,13
3,fa,27,,Ronald Acuña Jr.,660670,101,30,40,5,0,9,0.5,1.213,0.713,16,21,27,3,0,25,0.396,122,72,28
4,fa,33,,Aaron Judge,592450,289,68,106,18,2,28,0.468,1.202,0.734,62,53,88,6,3,102,0.367,346,212,78
5,fa,29,,Bryce Johnson,669369,9,1,4,1,0,0,0.5,1.056,0.556,0,0,2,1,0,1,0.444,10,5,5
6,fa,28,,Cal Raleigh,663728,284,57,79,14,0,32,0.383,1.048,0.665,68,45,83,9,2,130,0.278,334,189,76
7,fa,27,,Dominic Canzone,686527,39,7,12,2,0,4,0.357,1.024,0.667,7,3,6,1,0,18,0.308,42,26,13
8,fa,31,,Ketel Marte,606466,190,45,60,11,0,14,0.422,1.017,0.595,31,31,31,2,1,78,0.316,225,113,52
9,fa,30,,Shohei Ohtani,660271,306,76,89,12,6,26,0.39,1.014,0.624,49,48,92,11,4,98,0.291,359,191,77
10,fa,26,,Jonny DeLuca,676356,23,4,10,0,1,0,0.48,1.002,0.522,1,2,4,4,0,4,0.435,25,12,9
11,fa,25,,Wenceel Pérez,672761,71,13,21,5,1,6,0.346,0.994,0.648,13,4,16,1,0,37,0.296,78,46,22
12,fa,34,,Tyler Heineman,623168,66,16,26,5,0,2,0.417,0.978,0.561,11,3,11,2,0,22,0.394,73,37,26
13,fa,34,,Tyler Heineman,623168,66,16,26,5,0,2,0.417,0.978,0.561,11,3,11,2,0,22,0.394,73,37,26
14,fa,30,,Will Smith,669257,204,38,67,15,1,9,0.425,0.969,0.544,42,36,44,2,3,79,0.328,247,111,62
15,fa,34,,Austin Wynns,642851,68,9,21,5,0,5,0.347,0.95,0.603,17,4,19,0,0,35,0.309,72,41,28
16,fa,22,,James Wood,695578,299,50,85,19,0,22,0.379,0.948,0.569,61,46,92,9,4,108,0.284,348,170,79
17,fa,31,,Alex Bregman,608324,197,32,59,17,0,11,0.385,0.938,0.553,35,22,42,1,1,99,0.299,226,109,51
18,fa,34,,Rob Refsnyder,608701,83,15,25,5,0,5,0.388,0.93,0.542,14,12,25,2,0,40,0.301,98,45,33
19,fa,30,,Pete Alonso,624413,297,43,85,22,1,18,0.38,0.929,0.549,64,37,79,0,2,138,0.286,347,163,79
20,fa,25,,Iván Herrera,671056,150,22,48,8,0,8,0.392,0.925,0.533,36,16,32,1,0,68,0.32,171,80,42
21,fa,32,,Kyle Schwarber,656941,285,57,71,9,1,24,0.38,0.92,0.54,55,55,88,6,1,140,0.249,345,154,78
22,fa,24,,Corbin Carroll,682998,286,57,73,13,9,20,0.341,0.914,0.573,44,30,80,10,4,112,0.255,323,164,72
23,fa,35,,Freddie Freeman,518692,249,40,80,21,1,9,0.392,0.914,0.522,41,28,57,0,1,95,0.321,283,130,67
24,fa,31,,Byron Buxton,621439,232,46,65,9,3,17,0.347,0.912,0.565,47,23,71,13,0,82,0.28,262,131,61
25,fa,28,,Kyle Tucker,663656,288,55,81,16,4,15,0.391,0.912,0.521,46,51,49,18,1,102,0.281,343,150,77
26,fa,32,,José Ramírez,608070,279,43,90,16,1,13,0.383,0.91,0.527,36,27,34,20,5,90,0.323,313,147,74
27,fa,29,,Austin Hays,669720,119,23,36,6,3,6,0.346,0.901,0.555,25,8,32,2,0,53,0.303,130,66,31
28,fa,29,,Austin Hays,669720,119,23,36,6,3,6,0.346,0.901,0.555,25,8,32,2,0,53,0.303,130,66,31
29,fa,27,,Jonathan Aranda,666018,243,39,79,15,0,8,0.411,0.897,0.486,41,30,66,0,1,97,0.325,282,118,73
30,fa,33,,Eugenio Suárez,553993,283,48,71,15,0,25,0.323,0.892,0.569,67,21,82,1,0,126,0.251,319,161,78
31,fa,29,,Trenton Brooks,670092,9,2,2,1,0,1,0.222,0.889,0.667,2,0,7,0,0,7,0.222,9,6,7
32,fa,28,,Rafael Devers,646240,295,49,79,19,0,16,0.394,0.889,0.495,61,59,83,1,1,126,0.268,360,146,79
33,fa,23,,Jacob Wilson,805779,292,40,102,15,0,9,0.39,0.883,0.493,40,17,20,5,1,97,0.349,314,144,74
